INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
covid-19uk[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19kleen[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
alliance-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
comedy4covid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
caronavirusupdate[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
diabetescovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusrelief[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
corona-virusdeepclean[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-trauma-informed-care[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
antivirus-corona[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-debt-advice[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
checkforcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-obzor[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
athometestforcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19carrier[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
climb-against-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
athomecoronavirustestkit[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
cocovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
effcovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
allthecovid19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19insurance[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19watch[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
cleaning-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19deepclean[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusu[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
c0vld19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19lawyer[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
all-vs-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
corona-covid19[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
athomecoronavirustestkits[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusiraq[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
claim-help-covid-19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusjobretentionscheme[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-world[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusloanscheme[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
el-coronavirus-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
caronavirusremoteworking[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-death-rate[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19blog[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
